iter	Passed	Remaining
399	23090	34636
400	23117	34531
401	23189	34495
402	23219	34396
403	23252	34303
404	23284	34207
405	23313	34108
406	23386	34074
407	23412	33971
408	23436	33864
409	23467	33770
410	23500	33678
411	23570	33638
412	23604	33549
413	23628	33445
414	23653	33342
415	23680	33244
416	23713	33153
417	23805	33144
418	23837	33054
419	23867	32960
420	23888	32854
421	23918	32760
422	23986	32719
423	24021	32632
424	24099	32604
425	24168	32565
426	24279	32581
427	24316	32497
428	24369	32436
429	24546	32538
430	24617	32499
431	24738	32526
432	24800	32475
433	24900	32474
434	24955	32413
435	24999	32339
436	25037	32256
437	25076	32176
438	25104	32081
439	25194	32065
440	25330	32108
441	25370	32028
442	25487	32046
443	25535	31977
444	25567	31887
445	25637	31845
446	25679	31769
447	25708	31676
448	25736	31583
449	25767	31493
450	25796	31402
451	25874	31369
452	25908	31284
453	25938	31194
454	25967	31103
455	26043	31069
456	26066	30971
457	26092	30878
458	26117	30783
459	26143	30689
460	26164	30591
461	26243	30561
462	26271	30470
463	26307	30389
464	26350	30317
465	26433	30291
466	26460	30200
467	26483	30104
468	26511	30016
469	26537	29925
470	26563	29834
471	26641	29802
472	26678	29724
473	26728	29660
474	26780	29599
475	26874	29584
476	26907	29502
477	26956	29437
478	27047	29419
479	27093	29350
480	27140	29284
481	27228	29262
482	27272	29191
483	27309	29114
484	27345	29036
485	27441	29022
486	27492	28960
487	27531	28885
488	27564	28804
489	27712	28844
490	27795	28814
491	27937	28846
492	27976	28771
493	28013	28694
494	28046	28613
495	28124	28577
496	28146	28486
497	28173	28399
498	28208	28321
499	28287	28287
500	28321	28208
501	28353	28127
502	28389	28050
503	28493	28041
504	28587	28021
505	28654	27974
506	28779	27984
507	28811	27903
508	28849	27828
509	28879	27746
510	28909	27664
511	29012	27652
512	29068	27594
513	29095	27510
514	29127	27430
515	29202	27391
516	29230	27308
517	29256	27223
518	29284	27140
519	29306	27052
520	29331	26966
521	29396	26919
522	29436	26847
523	29467	26767
524	29496	26687
525	29522	26604
526	29570	26540
527	29649	26505
528	29690	26435
529	29749	26381
530	29854	26368
531	29907	26309
532	29955	26245
533	30047	26221
534	30130	26188
535	30232	26171
536	30334	26154
537	30373	26083
538	30406	26006
539	30439	25929
540	30523	25896
541	30557	25821
542	30591	25746
543	30753	25778
544	30797	25711
545	30825	25631
546	30854	25552
547	30919	25503
548	30965	25437
549	30997	25361
550	31029	25285
551	31061	25209
552	31135	25167
553	31165	25089
554	31191	25009
555	31213	24925
556	31236	24843
557	31261	24762
558	31343	24727
559	31383	24658
560	31432	24596
561	31462	24520
562	31493	24445
563	31563	24399
564	31585	24318
565	31612	24239
566	31643	24165
567	31727	24130
568	31766	24062
569	31797	23987
570	31829	23913
571	31890	23862
572	31938	23800
573	31966	23723
574	31993	23647
575	32023	23572
576	32096	23530
577	32123	23453
578	32159	23383
579	32191	23310
580	32278	23278
581	32326	23217
582	32358	23144
583	32383	23067
584	32406	22989
585	32478	22945
586	32521	22881
587	32575	22825
588	32678	22803
589	32747	22756
590	32791	22693
591	32889	22667
592	32933	22603
593	32973	22537
594	33029	22482
595	33099	22436
596	33138	22369
597	33171	22299
598	33196	22223
599	33221	22147
600	33629	22326
601	33749	22312
602	33851	22286
603	34254	22457
604	34604	22593
605	34740	22587
606	35028	22679
607	35387	22815
608	35596	22854
609	35798	22887
610	35918	22867
611	35976	22808
612	36035	22749
613	36088	22687
614	36141	22625
615	36200	22566
616	36249	22501
617	36306	22441
618	36354	22376
619	36470	22352
620	36522	22290
621	36629	22260
622	36658	22183
623	36698	22113
624	36784	22070
625	36821	21998
626	36849	21921
627	36871	21841
628	36897	21763
629	37003	21732
630	37072	21679
631	37130	21620
632	37244	21593
633	37282	21522
634	37315	21449
635	37349	21376
636	37417	21322
637	37438	21242
638	37489	21179
639	37552	21123
640	37696	21112
641	37767	21060
642	37802	20988
643	37886	20943
644	37914	20867
645	37935	20787
646	37971	20717
647	38132	20714
648	38181	20649
649	38234	20587
650	38352	20560
651	38402	20496
652	38448	20431
653	38517	20377
654	38586	20324
655	38630	20257
656	38833	20274
657	38915	20226
658	39051	20207
659	39102	20143
660	39205	20106
661	39244	20037
662	39395	20024
663	39452	19964
664	39546	19921
665	39578	19848
666	39841	19890
667	40031	19895
668	40191	19885
669	40459	19927
670	40525	19870
671	40643	19837
672	40775	19812
673	40862	19764
674	40908	19696
675	41008	19655
676	41075	19597
677	41130	19534
678	41248	19500
679	41409	19486
680	41547	19462
681	41615	19404
682	41660	19335
683	41712	19270
684	41812	19227
685	41845	19153
686	41880	19081
687	41958	19027
688	42026	18970
689	42078	18904
690	42116	18833
691	42240	18800
692	42281	18730
693	42309	18655
694	42387	18601
695	42420	18528
696	42454	18455
697	42485	18381
698	42519	18309
699	42637	18273
700	42720	18221
701	42869	18198
702	42915	18130
703	42944	18056
704	42984	17986
705	43068	17934
706	43120	17870
707	43157	17799
708	43211	17735
709	43348	17705
710	43403	17642
711	43452	17576
712	43537	17525
713	43584	17458
714	43639	17394
715	43839	17388
716	43897	17326
717	43940	17257
718	44067	17222
719	44182	17182
720	44253	17124
721	44302	17058
722	44380	17003
723	44426	16936
724	44470	16868
725	44511	16799
726	44596	16746
727	44659	16685
728	44725	16626
729	44808	16572
730	44879	16515
731	45030	16486
732	45165	16451
733	45301	16417
734	45456	16389
735	45525	16329
736	45555	16256
737	45599	16188
738	45734	16152
739	45768	16080
740	45834	16020
741	45959	15980
742	46021	15918
743	46055	15846
744	46090	15775
745	46186	15725
746	46225	15656
747	46260	15584
748	46290	15512
749	46394	15464
750	46454	15402
751	46498	15334
752	46695	15317
753	46833	15279
754	47048	15267
755	47269	15256
756	47485	15243
757	47651	15213
758	47886	15205
759	47966	15147
760	48065	15095
761	48163	15043
762	48232	14981
763	48322	14926
764	48502	14899
765	48567	14836
766	48633	14773
767	48681	14705
768	49073	14741
769	49237	14707
770	49301	14643
771	49380	14583
772	49413	14510
773	49448	14438
774	49483	14366
775	49564	14307
776	49618	14240
777	49654	14168
778	49690	14096
779	49768	14037
780	49800	13964
781	49833	13892
782	49867	13820
783	49905	13749
784	49981	13689
785	50018	13618
786	50066	13550
787	50155	13493
788	50186	13421
789	50222	13350
790	50262	13280
791	50297	13209
792	50378	13150
793	50412	13079
794	50448	13008
795	50481	12937
796	50566	12879
797	50624	12814
798	50669	12746
799	50911	12727
800	50947	12657
801	50993	12589
802	51037	12520
803	51143	12467
804	51286	12423
805	51326	12354
806	51411	12295
807	51447	12225
808	51513	12162
809	51648	12115
810	51713	12051
811	51765	11985
812	51863	11929
813	51896	11858
814	51943	11790
815	52033	11733
816	52069	11663
817	52099	11591
818	52130	11520
819	52164	11450
820	52249	11391
821	52288	11322
822	52319	11252
823	52348	11181
824	52455	11126
825	52495	11058
826	52541	10991
